"gene_id","gene_name","genome"
"ENSG00000241552","RN7SL58P","hg38"
"ENSG00000241666","AL031733.2","hg38"
"ENSG00000241777","AC092185.1","hg38"
"ENSG00000242021","AC112493.1","hg38"
"ENSG00000242113","RN7SL124P","hg38"
"ENSG00000242142","SERBP1P3","hg38"
"ENSG00000242222","AC092989.1","hg38"
"ENSG00000243029","RN7SL635P","hg38"
"ENSG00000243385","AC094085.1","hg38"
"ENSG00000244196","PPIAP15","hg38"
"ENSG00000247626","MARS2","hg38"
"ENSG00000248211","TRPC7-AS1","hg38"
"ENSG00000248627","AC095059.1","hg38"
"ENSG00000248674","RBBP4P6","hg38"
"ENSG00000248870","AC026782.2","hg38"
"ENSG00000249274","PDLIM1P4","hg38"
"ENSG00000249403","AC008413.2","hg38"
"ENSG00000249519","LINC01438","hg38"
"ENSG00000249764","AC114811.1","hg38"
"ENSG00000250327","RPSAP70","hg38"
"ENSG00000250821","EXOC1L","hg38"
"ENSG00000251666","ZNF346-IT1","hg38"
"ENSG00000251789","RNU4-57P","hg38"
"ENSG00000252188","RF00561","hg38"
"ENSG00000252362","RNU6-506P","hg38"
"ENSG00000252385","RNU6-68P","hg38"
"ENSG00000252744","RF00019","hg38"
"ENSG00000253449","AC025437.3","hg38"
"ENSG00000253744","AC025442.1","hg38"
"ENSG00000253779","IGLVVI-25-1","hg38"
"ENSG00000253915","MAPRE1P1","hg38"
"ENSG00000254592","AC123788.1","hg38"
"ENSG00000254692","AL136295.1","hg38"
"ENSG00000254835","RNF185-AS1","hg38"
"ENSG00000255282","WTAPP1","hg38"
"ENSG00000255390","AC091564.4","hg38"
"ENSG00000255547","RPA2P3","hg38"
"ENSG00000256892","MTRNR2L7","hg38"
"ENSG00000256925","ADGRA1-AS1","hg38"
"ENSG00000257645","AC087897.1","hg38"
"ENSG00000257730","LSM6P2","hg38"
"ENSG00000258402","AC016526.1","hg38"
"ENSG00000258545","RHOXF1-AS1","hg38"
"ENSG00000258585","ZNF519P3","hg38"
"ENSG00000259092","TRAV30","hg38"
"ENSG00000259554","AC084882.1","hg38"
"ENSG00000259691","FKBP1AP2","hg38"
"ENSG00000260196","AC124798.1","hg38"
"ENSG00000260818","UNGP1","hg38"
"ENSG00000261136","AC023908.3","hg38"
"ENSG00000261499","AC233699.1","hg38"
"ENSG00000263041","AL513324.1","hg38"
"ENSG00000263301","AC113189.3","hg38"
"ENSG00000263450","AC090371.1","hg38"
"ENSG00000264192","RN7SL117P","hg38"
"ENSG00000265408","AC009084.1","hg38"
"ENSG00000266133","MIR4759","hg38"
"ENSG00000266718","AC079336.5","hg38"
"ENSG00000266896","AL354892.3","hg38"
"ENSG00000267095","AC025048.1","hg38"
"ENSG00000267429","AC006116.6","hg38"
"ENSG00000267555","AC008805.2","hg38"
"ENSG00000267744","AC022916.3","hg38"
"ENSG00000267760","AC011478.1","hg38"
"ENSG00000267762","AC048380.1","hg38"
"ENSG00000268279","AC090004.1","hg38"
"ENSG00000268834","OR7A1P","hg38"
"ENSG00000269118","FAM90A28P","hg38"
"ENSG00000269303","AC020907.3","hg38"
"ENSG00000269929","AL158152.1","hg38"
"ENSG00000270187","IGKV1OR2-11","hg38"
